"ProcessName","PID","Path","SignatureStatus","Signer"
"WhatsApp","24632","C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2542.2.0_x64__cv1g1gvanyjgm\WhatsApp.exe","NotSigned",
"WidgetService","24436","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe","NotSigned",
