"LogName","TimeCreated","Id","LevelDisplayName","Message"
"System","05/11/2025 02:56:17 p. m.","10010","Error","El servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} no se registró con DCOM dentro del tiempo de espera requerido."
"System","05/11/2025 02:56:17 p. m.","10010","Error","El servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} no se registró con DCOM dentro del tiempo de espera requerido."
"System","05/11/2025 02:56:17 p. m.","10010","Error","El servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} no se registró con DCOM dentro del tiempo de espera requerido."
"System","05/11/2025 02:56:17 p. m.","10010","Error","El servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} no se registró con DCOM dentro del tiempo de espera requerido."
"System","05/11/2025 02:56:16 p. m.","10010","Error","El servidor {71DCE5D6-4B57-496B-AC21-CD5B54EB93FD} no se registró con DCOM dentro del tiempo de espera requerido."
"System","05/11/2025 02:56:16 p. m.","10010","Error","El servidor {71DCE5D6-4B57-496B-AC21-CD5B54EB93FD} no se registró con DCOM dentro del tiempo de espera requerido."
"System","05/11/2025 02:56:16 p. m.","10010","Error","El servidor {71DCE5D6-4B57-496B-AC21-CD5B54EB93FD} no se registró con DCOM dentro del tiempo de espera requerido."
"System","05/11/2025 12:11:37 p. m.","20","Error","Error de instalación: error de Windows al instalar la siguiente actualización, error 0x80073D02: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE."
"System","05/11/2025 11:58:27 a. m.","10317","Error","Minipuerto Microsoft Wi-Fi Direct Virtual Adapter #2, {ef60c33c-1c07-43ff-b5d6-1ad56cdcb3a5}, tuvo el evento Fatal error: The miniport has failed a power transition to operational power"
"System","05/11/2025 08:36:57 a. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {D529741A-1BF1-4D1E-9976-35089622E758}"
"System","05/11/2025 08:36:57 a. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {3E8C9ABE-9226-4609-BF5B-60288A391DEE}"
"System","05/11/2025 08:36:57 a. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {D529741A-1BF1-4D1E-9976-35089622E758}"
"System","05/11/2025 08:36:57 a. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {3E8C9ABE-9226-4609-BF5B-60288A391DEE}"
"System","05/11/2025 08:06:18 a. m.","1796","Error","La actualización de arranque seguro no pudo actualizar una variable de arranque seguro con el error Unknown HResult Error code: 0x800700c1. Para obtener más información, consulte https://go.microsoft.com/fwlink/?linkid=2169931"
"System","05/11/2025 08:06:10 a. m.","10317","Error","Minipuerto Microsoft Wi-Fi Direct Virtual Adapter #2, {ef60c33c-1c07-43ff-b5d6-1ad56cdcb3a5}, tuvo el evento Fatal error: The miniport has failed a power transition to operational power"
"System","04/11/2025 08:22:59 p. m.","20","Error","Error de instalación: error de Windows al instalar la siguiente actualización, error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone."
"System","04/11/2025 08:22:57 p. m.","20","Error","Error de instalación: error de Windows al instalar la siguiente actualización, error 0x80073D02: 9MSSGKG348SP-MicrosoftWindows.Client.WebExperience."
"System","04/11/2025 08:22:55 p. m.","20","Error","Error de instalación: error de Windows al instalar la siguiente actualización, error 0x80073D02: 9P4W8RFN9M2T-AD2F1837.HPSystemEventUtility."
"System","04/11/2025 08:22:10 p. m.","1796","Error","La actualización de arranque seguro no pudo actualizar una variable de arranque seguro con el error Unknown HResult Error code: 0x800700c1. Para obtener más información, consulte https://go.microsoft.com/fwlink/?linkid=2169931"
